                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61809,                 1.5201,                 1.0967,                0.68726,                0.55107,                0.70678,                 0.4259,                 1.5832,                 1.8862,                 2.4772,             0.00016585,             0.00016585,             0.00016585
                     36,                0.60291,                 1.5115,                 1.1008,                0.64993,                  0.643,                 0.7049,                0.41975,                 1.6372,                 1.9549,                 2.4444,             0.00016338,             0.00016338,             0.00016338
                     37,                0.58801,                 1.4672,                  1.083,                0.48425,                 0.6373,                0.74574,                0.41772,                 1.6715,                 2.0236,                 2.4919,              0.0001609,              0.0001609,              0.0001609
                     38,                0.62582,                 1.4288,                 1.0901,                0.45612,                0.70592,                0.73741,                0.44184,                  1.529,                 1.8385,                 2.5175,             0.00015843,             0.00015843,             0.00015843
                     39,                0.58564,                  1.456,                 1.0925,                0.52649,                0.63137,                0.72104,                0.41786,                 1.6426,                 1.9687,                 2.5003,             0.00015595,             0.00015595,             0.00015595
                     40,                  0.589,                  1.399,                 1.0875,                0.74425,                 0.6057,                0.71431,                0.43453,                 1.6909,                 1.7857,                 2.5339,             0.00015348,             0.00015348,             0.00015348
                     41,                0.55748,                 1.3997,                 1.0677,                0.44485,                0.67608,                0.74772,                0.43074,                 1.6219,                 1.7647,                 2.4234,               0.000151,               0.000151,               0.000151
                     42,                0.58425,                   1.38,                 1.0762,                0.53611,                0.70536,                 0.7476,                0.41584,                 1.6538,                 1.8733,                 2.4548,             0.00014853,             0.00014853,             0.00014853
                     43,                0.56001,                 1.3492,                 1.0771,                0.59546,                0.58797,                0.76102,                0.49178,                 1.5457,                 2.0681,                 2.4107,             0.00014605,             0.00014605,             0.00014605
                     44,                0.57321,                  1.266,                 1.0634,                0.60355,                0.72561,                0.82507,                0.52173,                 1.4654,                 1.7746,                  2.281,             0.00014358,             0.00014358,             0.00014358
                     45,                0.57831,                 1.2891,                 1.0703,                0.61397,                0.73333,                0.82809,                0.49864,                 1.4565,                 1.8618,                 2.2452,              0.0001411,              0.0001411,              0.0001411
                     46,                0.57132,                 1.2596,                  1.066,                0.67342,                0.68989,                0.84276,                0.52105,                 1.3814,                 1.6294,                 2.1707,             0.00013862,             0.00013862,             0.00013862
                     47,                 0.5517,                 1.2875,                 1.0751,                0.60978,                0.61518,                0.83581,                0.53726,                 1.4406,                 1.6394,                 2.2658,             0.00013615,             0.00013615,             0.00013615
                     48,                0.56006,                 1.2875,                 1.0782,                 0.5723,                0.58056,                0.79162,                0.46485,                 1.6339,                 2.0642,                  2.394,             0.00013368,             0.00013368,             0.00013368
                     49,                 0.5621,                 1.2226,                 1.0578,                0.54945,                0.78461,                0.83057,                0.48469,                 1.6089,                 1.7078,                 2.3382,              0.0001312,              0.0001312,              0.0001312
                     50,                0.56362,                 1.2557,                 1.0814,                0.57825,                0.74208,                0.84003,                0.51393,                 1.5138,                 1.6585,                 2.2517,             0.00012872,             0.00012872,             0.00012872
                     51,                0.54785,                 1.2127,                  1.045,                0.48123,                0.81411,                0.82209,                0.48972,                 1.5646,                 1.5465,                 2.3542,             0.00012625,             0.00012625,             0.00012625
                     52,                0.54037,                 1.1785,                 1.0687,                0.57863,                0.68081,                0.79237,                0.47765,                 1.7015,                 1.6142,                  2.539,             0.00012377,             0.00012377,             0.00012377
                     53,                0.52133,                 1.1649,                 1.0491,                0.67929,                0.57813,                0.79972,                0.47966,                 1.6812,                 1.6945,                 2.5534,              0.0001213,              0.0001213,              0.0001213
                     54,                0.52246,                 1.1566,                 1.0397,                0.56536,                  0.652,                0.84382,                0.47028,                 1.7414,                 1.5345,                 2.4905,             0.00011883,             0.00011883,             0.00011883
                     55,                0.53896,                 1.1652,                 1.0625,                0.54851,                0.75675,                0.83616,                0.42882,                  1.667,                 1.6356,                 2.5003,             0.00011635,             0.00011635,             0.00011635
                     56,                0.52827,                 1.1339,                 1.0427,                0.65457,                0.60833,                 0.8345,                0.45148,                 1.5813,                 2.0277,                 2.3755,             0.00011387,             0.00011387,             0.00011387
                     57,                0.49769,                 1.1498,                 1.0412,                0.54958,                0.74697,                0.81056,                0.46711,                 1.5643,                 1.6948,                 2.3881,              0.0001114,              0.0001114,              0.0001114
